PC1,PC2,issue_assignee,cluster,cluster_label
1.874704043169354,-1.961546684934362,-.3.jn2,0,High Performer 🟢
1.8127644470841053,-1.4558008254810737,-zvz7e,0,High Performer 🟢
-42.94280656055989,5.201195337215253,.wy.z0yhg,2,Specialist ⚫
2.303280095238011,7.149054320391581,0ny0x93ygh,0,High Performer 🟢
1.938588703043675,-1.2228409104119728,0ny0x93ygi,0,High Performer 🟢
2.043242628756489,1.1887469102652972,0ny0x93ygr,0,High Performer 🟢
1.694490486139777,-2.0283900434773092,0ny0x93yhg,0,High Performer 🟢
1.8888561020345624,-1.2851607432213865,0ny0x93yho,0,High Performer 🟢
1.915252893199654,-0.1348667022335055,0ny0x93yhr,0,High Performer 🟢
1.6709821938821414,-2.056551345575583,0zxu.ad,0,High Performer 🟢
1.8285007982256303,-2.043748595459956,1.ca.cz38azew8x3djd4aa.c3,0,High Performer 🟢
0.596987055345974,-2.0764048156826824,1.ca.cz38j18x3czvj.ad,0,High Performer 🟢
1.8513325599640784,-1.950541735343122,1n81u .ad h,0,High Performer 🟢
1.9057740793899955,-1.7285734287572763,1n81u .ad i,0,High Performer 🟢
1.8494345602995994,-1.9411952696583645,1n81u .ad o,0,High Performer 🟢
1.866887953022598,-1.9835543042025234,1n81u .ad p,0,High Performer 🟢
0.6698539576999387,-2.2136904499994214,1n81u.adh,0,High Performer 🟢
1.6805737007298631,-2.1275508518594473,1n81u.ado,0,High Performer 🟢
-2.4467372859874637,-1.8665116173296163,1n81u.adp,0,High Performer 🟢
1.8710993579450845,-1.9069724342169292,1n81uazew8x3djd4aa.c3,0,High Performer 🟢
2.0628860225364005,2.492048484736814,3cxhho,0,High Performer 🟢
1.8275894109715656,-1.2408081365196268,3cxhog,0,High Performer 🟢
2.246808998915171,1.207088850140113,3cxhok,0,High Performer 🟢
1.9490021422688555,-1.962416355138541,3cxigp,0,High Performer 🟢
1.9967902854557689,-1.763920605613416,3cxigq,0,High Performer 🟢
1.9372179996600607,-2.084992544610312,3cxigs,0,High Performer 🟢
1.8680744677810026,-1.7078536456344746,3cxiog,0,High Performer 🟢
2.531327454317527,4.029867857163233,3cxior,0,High Performer 🟢
1.7459985006467689,-2.67482239175134,3cxogo,0,High Performer 🟢
-34.46114198614685,-0.5310433634458878,3cxosg,2,Specialist ⚫
2.2666506127097596,3.4060868145748007,4ggk,0,High Performer 🟢
1.4076419531645437,-0.4225188109170561,4ggo,0,High Performer 🟢
1.9538592937472163,-1.2946095712633365,4ggr,0,High Performer 🟢
2.1347473285150858,0.593333658404273,4gis,0,High Performer 🟢
1.9733630304926026,-0.8325796428167817,4glr,0,High Performer 🟢
1.902633208556371,-1.6409637595663011,4gor,0,High Performer 🟢
1.965413079243584,-1.3096068603577515,4grg,0,High Performer 🟢
2.0220396926470925,-0.6256427565638725,4gsg,0,High Performer 🟢
-2.2812455120570947,-0.23016046092358866,4hggg,0,High Performer 🟢
-16.26382834838839,-0.5904593368534414,4hggi,1,Solid Performer 🟡
-4.601931928535429,-0.5790045783687728,4hggl,1,Solid Performer 🟡
2.1648297759889457,3.2636377853048986,4hghi,0,High Performer 🟢
0.4723890416629235,-2.6468856286084854,4hghk,0,High Performer 🟢
0.9079325580070754,-0.404203923881584,4hgho,0,High Performer 🟢
1.0483977411449616,-2.5924000306072577,4hghq,0,High Performer 🟢
1.4173730974384977,-2.5178899947391455,4hghs,0,High Performer 🟢
2.576769944409068,4.748179675466381,4hgi,0,High Performer 🟢
1.235925941967139,-1.6087605963055975,4hgih,0,High Performer 🟢
-1.2232918818917822,-1.4456854572220148,4hgir,0,High Performer 🟢
-2.1411185413470584,-1.5489755388099555,4hgkl,0,High Performer 🟢
1.7905389479598552,-1.1105083280997734,4hgko,0,High Performer 🟢
-0.46550416611941103,-2.316273896954761,4hgkr,0,High Performer 🟢
-30.50912357432918,-0.7892359082705325,4hgks,2,Specialist ⚫
-18.34305361178332,-1.2143744436037596,4hgli,1,Solid Performer 🟡
-0.9136598709939328,-2.5590950960407,4hglq,0,High Performer 🟢
-9.634518215478392,3.7389928621381454,4hgog,1,Solid Performer 🟡
-4.91026006791929,-0.9688388507763959,4hgok,1,Solid Performer 🟡
-1.0179847649216225,-2.6214333257631,4hgol,0,High Performer 🟢
-7.1926758197279606,-1.195598203772066,4hgop,1,Solid Performer 🟡
-0.33993302656969004,-2.527419167711644,4hgor,0,High Performer 🟢
0.7756845320044312,-2.6805466656453096,4hgos,0,High Performer 🟢
-7.777530912006255,3.8227575832757363,4hgpk,1,Solid Performer 🟡
0.34430537174523757,-1.0739320628810238,4hgpl,0,High Performer 🟢
-16.102345676688262,-1.0216474949869587,4hgqg,1,Solid Performer 🟡
-1.5617099622924993,-0.37813157664464425,4hgqk,0,High Performer 🟢
1.7505844390265384,-2.173610553015394,4hgql,0,High Performer 🟢
-3.8284262678313805,1.5733227532597713,4hgqr,0,High Performer 🟢
0.5119934407538214,-2.7627462230107955,4hgrl,0,High Performer 🟢
-3.4318106458624316,-1.779082180607336,4hgsg,0,High Performer 🟢
-8.471135190871701,-1.8269759684634175,4hgsi,1,Solid Performer 🟡
-2.2337144797376,-2.6575347544545207,4hhgi,0,High Performer 🟢
-21.426550403009575,-0.8069362703150929,4hhgk,1,Solid Performer 🟡
1.8201279711401284,-2.8069356301231085,4hhgo,0,High Performer 🟢
-29.536153154518225,1.1477660329911223,4hhgr,2,Specialist ⚫
-4.633123310354222,-1.6730988296008924,4hhgs,1,Solid Performer 🟡
1.939229085287707,-0.8982752312936291,4hho,0,High Performer 🟢
-0.4072376011805938,-2.7430860287556333,4hhoo,0,High Performer 🟢
-3.812541360069031,-2.499643757833117,4hhop,0,High Performer 🟢
2.002147211530736,-0.9309480995826562,4hlg,0,High Performer 🟢
1.9821080358990621,-0.9281719836605777,4hlo,0,High Performer 🟢
2.1061880382869265,-0.2119217459290108,4hpg,0,High Performer 🟢
1.059944614163996,0.3879111067548471,4hph,0,High Performer 🟢
2.0376016572540623,-1.440459460931579,4hpp,0,High Performer 🟢
1.909061173293371,-1.5558159788064019,4hsg,0,High Performer 🟢
2.474337060929954,5.084054243100315,4hsq,0,High Performer 🟢
2.085609036040701,-0.23953843429280552,4igh,0,High Performer 🟢
2.70524787609296,5.969703011181936,4ihh,0,High Performer 🟢
1.868914721265605,-1.958379097410727,4ihs,0,High Performer 🟢
2.1971258683516606,-1.5318675422418,4ikk,0,High Performer 🟢
1.6209049189720772,-1.3995990913579197,4ioh,0,High Performer 🟢
2.077168203616881,-0.23369415607861255,4ipo,0,High Performer 🟢
2.1066261430354887,1.3884012267846046,4isp,0,High Performer 🟢
-0.05142670629631341,-0.500831857374606,4kgh,0,High Performer 🟢
1.5799539499623068,-2.542209613912992,4kgi,0,High Performer 🟢
1.9910875246382882,-0.5630174364499982,4kgk,0,High Performer 🟢
2.3183383775913966,-1.3333476340777146,4kgo,0,High Performer 🟢
-0.20182161174097346,-1.9465150591587224,4kgp,0,High Performer 🟢
1.8395132077367788,-2.749762516083842,4kgq,0,High Performer 🟢
-1.308519871588761,0.2428995082243104,4kgr,0,High Performer 🟢
1.4153499181589533,-2.6973187252051893,4khg,0,High Performer 🟢
-0.3469333521218083,1.439379614356376,4khi,0,High Performer 🟢
1.1687168533640897,-1.5150106427764904,4kho,0,High Performer 🟢
2.027256677754356,-1.5941145479490715,4khp,0,High Performer 🟢
1.850389379819073,-1.995815528680586,4khq,0,High Performer 🟢
1.6281709075692514,-1.2016398483601638,4khs,0,High Performer 🟢
1.9638831959675913,-1.134758584369354,4kig,0,High Performer 🟢
-3.7952203467882324,0.08419403593917818,4kih,0,High Performer 🟢
1.8984905211080436,-1.2419206309926711,4kir,0,High Performer 🟢
1.9851238921334213,0.3020276407221676,4kkr,0,High Performer 🟢
-1.592674641422046,-1.1824467804947592,4kll,0,High Performer 🟢
-2.2301390322863943,-0.13522358458573736,4klq,0,High Performer 🟢
1.9561168136218867,-0.5325261196619692,4klr,0,High Performer 🟢
1.9227595264795816,-1.5136418778243454,4kol,0,High Performer 🟢
1.8638482369766447,-1.9269110124831026,4kph,0,High Performer 🟢
