issueid,sentiment_compound_mean,sentiment_compound_std,sentiment_compound_min,sentiment_compound_max,sentiment_pos_mean,sentiment_neg_mean,word_count_mean,word_count_sum,question_count_sum,politeness_score_sum,urgency_score_sum,technical_score_sum,solution_score_sum,reporter_sentiment_compound_mean,reporter_word_count_mean,reporter_word_count_count,reporter_politeness_score_sum
1004298.0,0.14921428571428572,0.2989062296854634,-0.765,0.8442,0.24402232142857144,0.02878125,11.59375,2597,5,35,1,27,15,0.09491904761904761,12.547619047619047,126.0,16.0
1004357.0,0.044610000000000004,0.3952725973433098,-0.7884,0.5423,0.2584,0.1127,15.85,317,3,3,0,7,4,-0.16695,22.0,2.0,0.0
1004361.0,0.217990625,0.2814672936448075,-0.481,0.7783,0.3107109375,0.0134609375,7.0,896,3,31,4,15,4,0.25667999999999996,6.4,5.0,0.0
1004362.0,0.18972048192771085,0.24816172623075247,-0.2263,0.6705,0.28331927710843374,0.002433734939759036,7.319277108433735,1215,3,31,8,22,4,0.14049999999999999,8.0,3.0,0.0
1004364.0,0.14199032258064517,0.27216632825637915,-0.481,0.6369,0.2813225806451613,0.054161290322580644,5.32258064516129,165,3,4,0,5,2,0.36985,4.0,2.0,1.0
1004366.0,0.08802,0.2775365364283261,-0.481,0.5423,0.15235,0.0687,8.55,171,3,2,0,6,3,0.0,16.0,1.0,0.0
1004368.0,0.16628435374149658,0.23948605064209474,-0.6908,0.7096,0.32120408163265307,0.015938775510204083,5.530612244897959,813,3,16,11,25,2,0.1900125,4.25,8.0,0.0
1004427.0,0.11465579710144927,0.24498276716337467,-0.6705,0.7506,0.19412318840579712,0.01951449275362319,7.644927536231884,1055,3,20,0,20,9,0.06548636363636363,8.681818181818182,22.0,1.0
1004437.0,0.17357582417582418,0.3638680088349069,-0.6908,0.8481,0.21734065934065933,0.03538461538461539,9.703296703296703,883,3,23,0,6,10,0.0,19.0,1.0,0.0
1004440.0,0.1909465408805031,0.25456515983634753,-0.481,0.8074,0.27444234800838574,0.012436058700209644,5.59538784067086,2669,17,126,0,23,19,0.3080538461538461,5.75,52.0,29.0
1004444.0,0.2312970149253731,0.278789468759214,-0.481,0.6908,0.35288059701492536,0.01564676616915423,4.393034825870647,883,4,30,3,22,4,0.16621764705882353,4.529411764705882,17.0,4.0
1004446.0,0.1506525,0.257371494283303,-0.5499,0.6705,0.2863,0.027012500000000002,5.1375,411,4,11,0,10,2,0.21956363636363638,5.818181818181818,11.0,4.0
1004471.0,0.1530506329113924,0.2570987777217242,-0.481,0.5859,0.3009240506329114,0.039848101265822784,6.341772151898734,501,4,12,1,15,2,0.16579090909090907,5.7272727272727275,11.0,1.0
1004476.0,0.08572380952380952,0.2676982459874586,-0.481,0.5423,0.17480952380952383,0.07080952380952381,9.476190476190476,199,3,3,1,7,2,0.05387499999999999,11.0,4.0,1.0
1004503.0,0.07538888888888888,0.23529189312118998,-0.577,0.5423,0.19625925925925927,0.03738888888888889,7.444444444444445,402,3,2,0,10,5,-0.577,15.0,1.0,0.0
1004519.0,0.19258738738738737,0.25961632849513533,-0.481,0.7184,0.25947747747747746,0.01372072072072072,5.27027027027027,585,3,30,0,15,2,0.14049999999999999,9.333333333333334,3.0,0.0
1004526.0,0.11538958333333334,0.2775426637584578,-0.6597,0.8074,0.19667708333333334,0.0246875,8.4375,810,3,12,0,20,3,0.09974,5.8,5.0,0.0
1004530.0,0.24332881355932204,0.295820051925122,-0.5242,0.7184,0.39886440677966106,0.03457627118644068,6.491525423728813,383,4,14,0,8,2,0.25204375,10.25,16.0,7.0
1004571.0,0.14455245901639344,0.30120840769947377,-0.8271,0.6705,0.25863934426229507,0.04388524590163934,5.540983606557377,338,5,14,0,7,5,-0.09667499999999998,8.75,4.0,0.0
1004647.0,0.18999047619047618,0.2824021002906108,-0.481,0.8074,0.3170952380952381,0.03271428571428571,5.476190476190476,230,3,6,0,6,2,0.2746692307692308,4.461538461538462,13.0,2.0
1004667.0,0.261355,0.26666502778852447,-0.481,0.8271,0.37293,0.013739999999999999,6.58,658,6,29,0,6,3,0.32858181818181814,5.909090909090909,11.0,3.0
1004687.0,0.22450454545454546,0.3152139310996698,-0.481,0.6369,0.31013636363636365,0.06636363636363636,13.318181818181818,293,3,5,0,6,2,0.36994,7.2,5.0,4.0
1004695.0,0.11837,0.28702305652048055,-0.7506,0.5423,0.2517,0.04955,6.65,266,3,5,0,10,2,0.060787499999999994,5.625,8.0,2.0
1004761.0,0.1529670634920635,0.2669276053922229,-0.6908,0.8689,0.24465079365079365,0.01932142857142857,5.7936507936507935,1460,5,49,3,25,4,0.2513758064516129,5.548387096774194,62.0,18.0
1004770.0,0.16476888888888888,0.33115740408879324,-0.743,0.7003,0.3014,0.046933333333333334,6.511111111111111,293,3,7,0,9,5,0.06898000000000001,10.8,5.0,2.0
1004778.0,0.22256860465116277,0.30130460696644934,-0.5106,0.6705,0.37994186046511624,0.024302325581395348,7.1395348837209305,614,3,13,2,16,8,0.09889047619047618,5.619047619047619,21.0,0.0
1004798.0,0.172095,0.28581282825456206,-0.481,0.6597,0.28300000000000003,0.041975,5.175,207,3,5,0,5,2,0.21056,2.6,5.0,1.0
1004808.0,0.21223736842105262,0.2708195965716256,-0.481,0.8807,0.30306315789473687,0.00991578947368421,6.436842105263158,1223,3,37,0,22,14,0.3367578947368421,6.7368421052631575,19.0,5.0
1004836.0,0.1449030303030303,0.26364468333920615,-0.481,0.6369,0.2582424242424243,0.05087878787878788,6.575757575757576,217,3,5,0,5,4,0.246225,9.75,4.0,1.0
1004854.0,0.11090869565217391,0.28354227504753227,-0.481,0.7003,0.18591304347826085,0.05973913043478261,7.913043478260869,182,3,2,0,5,3,0.08344285714285714,5.428571428571429,7.0,0.0
1004857.0,0.16528444444444446,0.26925770349033445,-0.481,0.6597,0.2645777777777778,0.037311111111111114,7.0,315,3,5,0,8,2,0.26720000000000005,9.666666666666666,3.0,0.0
1004859.0,0.15870753138075314,0.24824416070290015,-0.743,0.8316,0.26722175732217573,0.01696373779637378,5.514644351464435,3954,22,125,16,72,33,0.2127507142857143,5.728571428571429,140.0,36.0
1004868.0,0.2375911111111111,0.2539421326550081,-0.4019,0.7506,0.30146666666666666,0.024466666666666668,8.355555555555556,376,1,15,0,1,2,0.3413,5.833333333333333,6.0,2.0
1004899.0,0.1321923076923077,0.271834689882439,-0.481,0.743,0.20002564102564102,0.04305128205128205,6.0,234,3,7,0,5,3,0.13913,4.6,10.0,2.0
1004926.0,0.1939467741935484,0.29113334937889046,-0.481,0.8721,0.28093548387096773,0.03196774193548387,6.435483870967742,399,4,14,0,8,4,0.27002666666666664,9.2,15.0,5.0
1004974.0,0.25494252873563217,0.27701889643890515,-0.481,0.8074,0.3751954022988506,0.019298850574712645,5.459770114942529,475,4,20,0,9,5,0.0,10.0,1.0,0.0
1004975.0,0.15496461538461537,0.30038373085041636,-0.7003,0.6705,0.28190769230769236,0.03112307692307692,6.815384615384615,443,3,12,3,10,4,-0.7003,30.0,1.0,0.0
1004982.0,0.16640666666666665,0.3146155730700275,-0.481,0.8074,0.2833555555555555,0.04215555555555556,7.555555555555555,340,4,10,1,8,4,-0.4019,23.0,1.0,0.0
1004985.0,0.17875238095238094,0.25230638215509027,-0.6124,0.5747,0.3330952380952381,0.01570238095238095,6.738095238095238,566,0,19,1,7,2,0.19269999999999998,6.526315789473684,19.0,2.0
1005010.0,0.19978857142857143,0.30596839203481413,-0.481,0.836,0.2545142857142857,0.046714285714285715,9.057142857142857,317,3,9,0,6,2,0.836,23.0,1.0,0.0
1005054.0,0.3069657894736842,0.3170139380313059,-0.481,0.7906,0.42357894736842105,0.043763157894736844,8.447368421052632,321,4,11,0,9,6,0.42441333333333336,8.266666666666667,15.0,7.0
1005061.0,0.19455384615384613,0.2642982855502138,-0.481,0.8481,0.3220076923076923,0.02026153846153846,6.253846153846154,813,8,26,0,12,7,0.21315625,6.765625,64.0,11.0
1005066.0,0.2000673469387755,0.3467771290683656,-0.743,0.802,0.36030612244897964,0.040775510204081634,9.16326530612245,449,5,7,2,7,2,0.06149999999999999,8.545454545454545,11.0,1.0
1005097.0,0.2852585798816568,0.26307587953518147,-0.481,0.836,0.4231775147928994,0.011331360946745563,6.017751479289941,1017,7,47,3,14,16,0.3486365853658537,6.463414634146342,41.0,11.0
1005100.0,0.16764603174603174,0.254484022456444,-0.481,0.7017,0.23680952380952383,0.02480952380952381,6.523809523809524,411,7,15,2,9,2,0.0,7.333333333333333,3.0,0.0
1005108.0,0.15885,0.2492009534574088,-0.481,0.6369,0.29156,0.03358,5.44,272,3,6,1,8,3,0.0,5.0,1.0,0.0
1005113.0,0.13762542372881356,0.2558395554553541,-0.481,0.6486,0.20211864406779662,0.028593220338983052,8.271186440677965,488,3,8,1,9,4,0.1352142857142857,9.142857142857142,7.0,1.0
1005127.0,0.125525,0.30986647339351403,-0.481,0.5994,0.2554375,0.08587499999999999,9.9375,159,3,3,0,5,2,0.21158000000000002,7.0,5.0,2.0
1005133.0,0.131648,0.2808151899975023,-0.481,0.5859,0.30808,0.060039999999999996,7.76,194,3,4,0,6,5,0.3182,7.0,1.0,1.0
1005150.0,0.10653333333333333,0.2676749613099452,-0.481,0.5423,0.22084615384615383,0.055,8.743589743589743,341,3,6,0,15,4,0.3275666666666667,16.333333333333332,3.0,1.0
1005215.0,0.17539135802469136,0.24553120018776087,-0.481,0.802,0.24937962962962965,0.007944444444444443,4.20679012345679,1363,3,61,2,21,10,0.09789322033898304,2.790960451977401,177.0,25.0
1005228.0,0.15223928571428572,0.2962761428868604,-0.481,0.7003,0.24357142857142858,0.05996428571428571,7.25,203,3,4,0,5,4,0.285175,7.0,4.0,0.0
