employee,ticket_count,median_time,avg_steps,avg_comments,reopen_rate,first_touch_rate,success_rate,median_time_hours,quality_reopen,quality_success,quality_score,efficiency_score,productivity_score,comm_optimal,communication_score,o_score_raw,o_score,o_score_int,q1,q2,q3,q_score_avg,score_diff
1n81u.adh,45,1563.0,1.1555555555555554,1.1555555555555554,0.0,0.0,0.9555555555555556,0.43416666666666665,1.0,0.9555555555555556,0.9822222222222222,0.8138528138528138,0.5636363636363636,0.21885521885521886,0.10942760942760943,0.6818537758537757,3.4,4,5.0,5.0,5.0,5.0,-1.6
3cxogo,404,247.5,2.0024752475247523,3.032178217821782,0.009900990099009901,0.9108910891089109,0.943069306930693,0.06875,0.9801980198019802,0.943069306930693,0.9653465346534653,0.9134199134199135,0.7523809523809524,0.5742761776177617,0.7425836333633363,0.8652191826325488,4.3,5,5.0,5.0,5.0,5.0,-0.7000000000000002
4ggo,133,274764.389,2.1503759398496243,3.398496240601504,0.015037593984962405,0.45112781954887216,0.6240601503759399,76.3234413888889,0.9699248120300752,0.6240601503759399,0.8315789473684211,0.6103896103896104,0.5774891774891775,0.643654591023012,0.5473912052859421,0.6686261107313739,3.3,4,5.0,5.0,5.0,5.0,-1.7000000000000002
4hggg,32,947871.5,3.0625,10.71875,0.03125,0.21875,0.90625,263.2976388888889,0.9375,0.90625,0.925,0.23809523809523814,0.2502164502164502,0.0,0.109375,0.45519209956709955,2.3,3,2.0,2.0,2.0,2.0,0.2999999999999998
4hghk,609,206.0,1.9113300492610839,2.863711001642036,0.006568144499178982,0.8801313628899836,0.9293924466338259,0.05722222222222222,0.986863711001642,0.9293924466338259,0.9638752052545156,0.9437229437229437,0.832034632034632,0.5423695078867492,0.7112504353883664,0.8819440712544161,4.4,5,5.0,5.0,5.0,5.0,-0.5999999999999996
4hgho,105,1025832.0,3.6476190476190475,9.80952380952381,0.13333333333333333,0.29523809523809524,0.9714285714285714,284.9533333333333,0.7333333333333334,0.9714285714285714,0.8285714285714285,0.20346320346320346,0.3142857142857143,0.14213564213564212,0.21868686868686868,0.44746031746031745,2.2,3,3.0,3.0,3.2857142857142856,3.095238095238095,-0.8952380952380947
4hghq,519,395.0,2.321772639691715,4.360308285163777,0.005780346820809248,0.6339113680154143,0.9364161849710982,0.10972222222222222,0.9884393063583815,0.9364161849710982,0.9676300578034682,0.8311688311688312,0.7437229437229437,0.8258159630992001,0.7298636655573072,0.8411800498794718,4.2,5,4.818181818181818,4.818181818181818,4.818181818181818,4.818181818181818,-0.6181818181818182
4hghs,236,248.5,1.8644067796610169,2.8771186440677967,0.0,0.8559322033898306,0.9364406779661016,0.06902777777777777,1.0,0.9364406779661016,0.9745762711864406,0.9090909090909091,0.7194805194805195,0.5449088341037494,0.70042051874679,0.8523546298334433,4.3,5,5.0,5.0,5.0,5.0,-0.7000000000000002
4hgih,84,343703.0,3.119047619047619,4.285714285714286,0.09523809523809523,0.011904761904761904,0.9880952380952381,95.47305555555556,0.8095238095238095,0.9880952380952381,0.8809523809523809,0.5844155844155844,0.3303030303030303,0.8116883116883116,0.4117965367965367,0.6028571428571428,3.0,4,4.0,4.0,4.0,4.0,-1.0
4hgir,74,262318.5,2.72972972972973,5.594594594594595,0.06756756756756757,0.20270270270270271,0.8918918918918919,72.86625,0.8648648648648649,0.8918918918918919,0.8756756756756757,0.6277056277056277,0.39090909090909093,0.9404176904176904,0.5715601965601965,0.6559067509067509,3.3,4,1.0,1.0,1.0,1.0,2.3
4hglq,331,177.0,1.8821752265861027,2.694864048338369,0.0,0.8489425981873112,0.9123867069486404,0.049166666666666664,1.0,0.9123867069486404,0.9649546827794562,0.9696969696969697,0.7471861471861472,0.5103909182459032,0.6796667582166072,0.865528962477603,4.3,5,4.909090909090909,5.0,4.909090909090909,4.93939393939394,-0.6393939393939405
4hgog,65,3711156.0,2.1846153846153844,14.046153846153846,0.046153846153846156,0.12307692307692308,0.7076923076923077,1030.8766666666668,0.9076923076923077,0.7076923076923077,0.8276923076923077,0.04761904761904767,0.47359307359307357,0.0,0.06153846153846154,0.4086233766233766,2.0,3,2.0,1.8333333333333333,2.0,1.9444444444444444,0.05555555555555558
4hgok,40,459384.5,1.75,8.85,0.025,0.075,0.825,127.60680555555555,0.95,0.825,0.8999999999999999,0.5238095238095238,0.49783549783549785,0.32386363636363646,0.19943181818181824,0.5854058441558442,2.9,3,4.0,4.0,4.0,4.0,-1.1
4hgol,532,182.0,1.9229323308270676,2.7537593984962405,0.0037593984962406013,0.9060150375939849,0.9078947368421053,0.050555555555555555,0.9924812030075187,0.9078947368421053,0.9586466165413533,0.961038961038961,0.8173160173160172,0.521545340624288,0.7137801891091364,0.8820052973342446,4.4,5,5.0,5.0,5.0,5.0,-0.5999999999999996
4hgor,414,237.5,1.9082125603864735,2.8091787439613527,0.0024154589371980675,0.9033816425120773,0.9082125603864735,0.06597222222222222,0.9951690821256038,0.9082125603864735,0.9603864734299516,0.922077922077922,0.7792207792207793,0.5320414287805593,0.7177115356463183,0.8660412091933831,4.3,5,4.909090909090909,4.909090909090909,5.0,4.9393939393939394,-0.6393939393939396
4hgos,479,141.0,1.8893528183716075,2.720250521920668,0.0041753653444676405,0.872651356993737,0.9206680584551148,0.03916666666666667,0.9916492693110647,0.9206680584551148,0.9632567849686846,0.987012987012987,0.8138528138528138,0.515198962484975,0.693925159739356,0.8854487162107203,4.4,5,5.0,5.0,5.0,5.0,-0.5999999999999996
4hgpl,30,535073.0,2.466666666666667,8.566666666666666,0.03333333333333333,0.26666666666666666,0.9333333333333333,148.6313888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.4632034632034632,0.3406926406926407,0.3775252525252526,0.3220959595959596,0.5750252525252525,2.9,3,5.0,5.0,5.0,5.0,-2.1
4hgqg,10,50491.5,2.1,2.5,0.0,0.0,0.6,14.025416666666667,1.0,0.6,0.84,0.7402597402597403,0.28268398268398265,0.4734848484848485,0.23674242424242425,0.5829502164502165,2.9,3,5.0,5.0,5.0,5.0,-2.1
4hgrl,265,178.0,1.7433962264150944,2.5245283018867926,0.0,0.8226415094339623,0.9245283018867925,0.049444444444444444,1.0,0.9245283018867925,0.969811320754717,0.9653679653679653,0.7532467532467533,0.4781303602058319,0.650385934819897,0.8615024912194723,4.3,5,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,-0.47777777777777786
4hhgi,462,159.0,1.7705627705627707,2.6406926406926408,0.004329004329004329,0.8722943722943723,0.8852813852813853,0.04416666666666667,0.9913419913419913,0.8852813852813853,0.9489177489177489,0.974025974025974,0.8268398268398269,0.5001311819493637,0.686212777121868,0.8782382264200446,4.4,5,5.0,5.0,5.0,5.0,-0.5999999999999996
4hhgo,143,149.0,1.832167832167832,2.762237762237762,0.0,0.8811188811188811,0.993006993006993,0.04138888888888889,1.0,0.993006993006993,0.9972027972027973,0.9826839826839827,0.6484848484848484,0.5231510913329094,0.7021349862258952,0.8648159416341235,4.3,5,5.0,5.0,5.0,5.0,-0.7000000000000002
4hlg,346,553627.8230000001,2.4104046242774566,2.6271676300578033,0.008670520231213872,0.5953757225433526,0.869942196531792,153.7855063888889,0.9826589595375722,0.869942196531792,0.93757225433526,0.4502164502164502,0.6580086580086579,0.49756962690488693,0.5464726747241198,0.6816006681180091,3.4,4,2.5,2.5,2.5,2.5,0.8999999999999999
4hpp,1547,328147.295,2.6961861667744023,5.741435035552683,0.014221073044602456,0.3865546218487395,0.8791208791208791,91.15202638888888,0.9715578539107951,0.8791208791208791,0.9345830639948287,0.5974025974025974,0.7662337662337663,0.912607000842295,0.6495808113455173,0.7596176372646961,3.8,4,4.0,4.0,5.0,4.333333333333333,-0.5333333333333332
